,loss
0,4.7058317791948134e-05
1,0.00013229612637921662
2,9.399888713623739e-05
3,7.351878370798204e-05
4,4.559966822947903e-05
5,5.633873445443083e-05
6,2.9059609495618588e-05
7,3.9704857561245754e-05
8,5.691993490319902e-05
9,4.414948308939515e-05
10,4.090968789627336e-05
11,3.8762913235179663e-05
12,4.92887958136734e-05
13,2.0879373558505e-05
14,1.7380840373781847e-05
15,1.7124320565040096e-05
16,1.689433458241553e-05
17,1.687327273143871e-05
18,1.6838934567171837e-05
19,1.6776160958027753e-05
